ID,Title,Alt Title,Special Mode Title,Locations,Comments
424,Infinity,0,0,Monture de l'Unité de contention Z1T9 (extrême) (Zurvan) / Faucon Zurvanique,
425,Prelude - Discoveries,0,0,Monture Hôô,Piste 3 jouée sur Hôô
426,Answers - Reprise,0,0,Ul'dah (Fête de la Commémoration),
427,Null BGM,0,0,,Son vide
428,Prelude - Long March Home,0,0,Écran titre de Stormblood,
429,Revolutions / A Father's Pride / The Measure of Our Reach,0,0,Crédits de Stormblood,"Extrait de ""Revolutions"" enchaînant sur ""A Father's Pride"" et ""The Measure of Our Reach"""
430,Harmony,0,0,Lieux de repos de Stormblood,
431,With Giants Watching,0,0,Lieux de repos de Stormblood,
432,Cradle,0,0,Lieux de repos de Stormblood,
433,Impact,0,0,L'Étendue de Rhalgr,
434,Afterglow,0,0,L'Étendue de Rhalgr,
435,Looping in the Deepest Fringes,0,0,Combat en Gyr Abania,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
436,Crimson Sunrise,0,0,Kugane (jour),
437,Crimson Sunset,0,0,Kugane (nuit),
438,Looping in the Deepest Fringes,0,0,Combat en Othard,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
439,Beyond The Wall,0,0,Les Marges (jour),
440,Hope Forgotten,0,0,Les Marges (nuit),
441,Looping in the Deepest Fringes,0,0,Combat dans Les Marges,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
442,On High,0,0,Les Pics (jour),
443,The Stone Remembers,0,0,Les Pics (nuit),
444,Looping in the Deepest Fringes,0,0,Combat dans Les Pics,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
445,Songs of Salt and Suffering,0,0,Les Lacs (jour),
446,Old Wounds,0,0,Les Lacs (nuit),
447,Looping in the Deepest Fringes,0,0,Combat dans Les Lacs,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
448,Liquid Flame,0,0,Mer de Rubis (jour),
449,Westward Tide,0,0,Mer de Rubis (nuit),
450,Looping in the Deepest Fringes,0,0,Combat en Othard,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
451,A Father's Pride,0,0,Yanxia (jour),
452,A Mother's Pride,0,0,Yanxia (nuit),
453,Looping in the Deepest Fringes,0,0,Combat à Yanxia,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
454,Drowning in the Horizon,0,0,Steppe d'Azim (jour),
455,He Rises Above,0,0,Steppe d'Azim (nuit),
456,Looping in the Deepest Fringes,0,0,Combat dans la Steppe d'Azim ,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
457,Revolutions,0,0,Cinématiques de Stormblood,"Instrumentale, intro raccourcie"
458,Revolutions,0,0,Cinématiques de Stormblood,"Instrumentale, commence directement après l'intro"
459,Heroes of Stormblood,0,0,Cinématiques de Stormblood,
460,The Measure of Our Reach,0,0,Cinématiques de Stormblood,
461,The Measure of His Reach,0,0,Cinématiques de Stormblood,Instrumentale
462,test,0,0,,Possiblement un fichier audio de test
463,Revolutions,0,0,Cinématiques de Stormblood,"Instrumentale, commence directement vers le milieu de la musique"
464,Cyan's Theme,0,0,"Cinématiques de Stormblood, Quartier enclavé de Doma","Arrangement de ""Cyan's Theme"" (FFVI)"
465,Far East of Eorzea,0,0,Cinématiques de Stormblood,
466,Revelation,0,0,La Crique aux tributs (Susano) phase 1,
467,Beauty's Wicked Wiles,0,0,Émanation (Lakshmi),
468,The Worm's Head,Scale and Steel,0,La Ménagerie royale (Shinryu) phase 1,
469,The Worm's Tail,0,0,La Ménagerie royale (Shinryu) phase 2,
470,Triumph,0,0,Boss de donjons Stormblood,
471,Dawnbound,0,0,La Mer du Chant des sirènes,
472,The Open Box,0,0,Le Palais aux Marées violettes,
473,Most Unworthy,0,0,La Force de Bardam,
474,Gates of the Moon,0,0,Le Château de Doma,
475,Alienus,0,0,Castrum Abania,
476,Liberty or Death,0,0,Ala Mhigo,
477,Their Deadly Mission,0,0,Le Temple du Poing,
478,Deception,0,0,Le Château de Kugane,
479,Deltascape,0,0,Fissure interdimensionnelle,
480,Omega^2,0,0,Combat dans le Deltastice,
481,Decisions,0,0,Deltastice v4.0 (Exdeath),"Remix de ""The Decisive Battle"" (FFV)"
482,"Final, Not Final",0,0,Deltastice v4.0 (sadique) (Néo-Exdeath),"Remix de ""The Last Battle"" (FFV)"
483,Wing and a Prayer,0,0,Faucon de relais,
484,Wing and a Prayer,0,0,"Cinématiques de Stormblood, Quêtes du Quartier enclavé de Doma",
485,Revolutions,0,0,Cinématiques de Stormblood,"Instrumentale, commence vers le milieu de la musique"
486,Prelude - Long March Home,0,0,Écran titre de Stormblood,Démarrage rapide - commence à 19 secondes
487,Prelude - Long March Home / Measure of His Reach,0,0,Cinématiques de Stormblood,"Version de 428 différente avec plus de cordes de ""Prelude"", transitionne vers ""The Measure of His Reach"""
488,Shell-Shocked,0,0,Mer de Rubis (Kojin hostiles),
489,Parting Ways,0,0,Cinématiques de Stormblood,
490,Meteor,0,0,Cinématiques de Stormblood (Zenos),
491,Riot,0,0,La Crique aux tributs (Susano) phase 2,
492,At Both Ends,0,0,La Crique aux tributs (Susano) phase 3,
493,Riot,0,0,Monture de La Crique aux tributs (extrême) (Susano) / Kamuy De La Splendeur,
494,Beauty's Wicked Wiles,0,0,Monture d'Émanation (extrême) (Lakshmi) / Kamuy De La Grâce,
495,Procedamus in Peace,0,0,L'Étendue de Rhalgr,Joue lorsque l'Étendue de Rhalgr est détruit
496,Wizardly,0,0,Donjon sans ronds,Order Yet Undeciphered (294) en version Chiptune
497,Victory,0,0,Victoire en course de chocobo,
498,Indomitable,0,0,Mer de Rubis (tribu Kojin),
499,Beyond Redemption,0,0,L'Abîme infini de Bahamut (fatal) phase 4,Thème de Primo-Bahamut
500,Rival Wings,0,Birds of Prey,Ailes rivales,
501,Locus,0,0,Ailes rivales,Quand le Manipulateur est piloté
502,Exponential Entropy,0,0,Ailes rivales,Quand le Croiseur-chasseur est piloté
503,Metal - Brute Justice Mode,0,0,Ailes rivales,Quand le Justicier est piloté
504,Far From Home,0,0,La Cité engloutie de Skalla,
505,The Worm's Tail,0,0,Monture du domaine de Shinryu / Kamuy De La Divinité,
506,Trisection,0,0,La Cité royale de Rabanastre,
507,Precipitous Combat,0,0,Boss de la Cité royale de Rabanastre,
508,Ultima's Transformation,0,0,Boss final de la Cité royale de Rabanastre (Argath Thadulfus),
509,Victory,0,0,Après le boss final de la Cité royale de Rabanastre,
510,Save / Load Screen,0,0,Cinématiques de Retour à Ivalice,
511,Character Creation,0,0,Cinématiques de Retour à Ivalice,
512,Protagonist's Theme,0,0,Cinématiques de Retour à Ivalice,
513,Decisive Battle,0,0,La Cité royale de Rabanastre,Vient de FF Tactics
514,Background Story,0,0,Cinématiques de Retour à Ivalice,
515,The Enemy Approaches,0,0,Cinématiques de Retour à Ivalice,
516,Starlit Gateway,0,0,Zones d'évènement saisonnier,La fête des étoiles 2017
517,Forever in Flames,0,0,,"Version courte de ""The Coil Tightens"" (239)"
518,Keepers of the Lock,0,0,Les Marges (tribu Ananta),
519,Iroha,0,0,Sanctuaire Reisen,
520,Siren Song,0,0,Zones d'évènement saisonnier,La fête des demoiselles
521,Answer on High,0,0,La Clairière de Jade (Byakko) / Le Nid des Lamentations (Suzaku) / L'Îlot des Amertumes (Seiryu) phase 1,
522,Todoroki,0,0,La Clairière de Jade (Byakko) phase 2,
523,Amatsu Kaze,0,0,La Clairière de Jade (Byakko) phase 3,
524,Wicked Winds Whisper,0,Magicked Skulls,"Eureka Anemos, Eureka Pagos, Eureka Pyros",
525,No Quarter,0,0,Combat contre un monstre célèbre à Eureka ,
526,Down Where Daemons Dwell,0,0,Le Couvercle des enfers,
527,Unbreakable - Duality,0,0,Le Continuum fractal (brutal),
528,The Phantom Train to Sigmascape,0,0,Cinématique d'ouverture du Sigmastice v1.0 (Train fantôme),
529,The Decisive Battle,0,0,"Sigmastice v1.0 (Train fantôme), Sigmastice v2.0 (Démon Chadarnouk), Sigmastice v3.0 (Gardien)",
530,Dancing Mad - Movement I,0,0,Sigmastice v4.0 (Kefka) phase 1,
531,Dancing Mad - Movement II,0,0,Sigmastice v4.0 (Kefka) phase 2,
532,Dancing Mad - Movement III,0,0,Sigmastice v4.0 (Kefka) phase 3,
533,Dancing Mad - Movement IV,0,0,Sigmastice v4.0 (sadique) (Kefka),
534,"Final, Not Final",0,0,Monture du Deltastice v4.0 (sadique) (Néo-Exdeath) / Force Aérienne,
535,Dancing Mad IV Hushed,0,0,Monture du Sigmastice v4.0 (sadique) (Kefka) / Force Aérienne,
536,Amatsu Kaze,0,0,Monture de la Clairière de Jade (extrême) (Byakko) / Kamuy De L'ouest,
537,Calling,0,0,Eureka,Même fichier que 56
538,Pa-Paya Demastered,0,0,"Mini-jeu Riggy, chasseur de Prœufs",La chasse aux Prœufs 2018
539,Freedom,0,0,Zones d'évènement saisonnier,Besoin d'un nom. Apparemment lié à la Valention
540,Seven Hundred Seventy-Seven Whiskers,0,0,Steppe d'Azim (tribu Namazu),
541,Nightbloom,0,0,"Castrum Fluminis (Tsukuyomi) phase 1, Castrum Fluminis (extrême) (Tsukuyomi) phase 1",
542,Lunacy,0,0,"Castrum Fluminis (Tsukuyomi) phase 2, Castrum Fluminis (extrême) (Tsukuyomi) phase 2",
543,Wayward Daughter,0,0,"Castrum Fluminis (Tsukuyomi) phase 3, Castrum Fluminis (extrême) (Tsukuyomi) phase 3",
544,Fallen Angel (From Astral to Umbral),0,0,La Fantasmagorie d'Ultima (fatal) phase 1 (Garuda),
545,Primal Judgment (From Astral to Umbral),0,0,La Fantasmagorie d'Ultima (fatal) phase 2 (Ifrit),
546,Under the Weight (From Astral to Umbral),0,0,"La Fantasmagorie d'Ultima (fatal) phase 3 (Titan), L'Éveil d'Éden - Inhumation (sadique) phase 3 (Titan)",
547,Ultima (Orchestral Version),0,0,La Fantasmagorie d'Ultima (fatal) phase 5,
548,Savage of the Ancient Forest,0,0,Chasse au Rathalos phase 1,
549,Proof of a Hero - Monster Hunter: World version,0,0,Chasse au Rathalos phase 2,
550,Quest Complete! - Proof of a Hero version,0,0,Après le combat de Chasse au Rathalos,
551,Earth Wind and Water,0,0,Le Compas de l'Hirondelle,
552,Wayward Daughter,0,0,Monture du Castrum Fluminis (extrême) / Kamuy De La Nuit,
553,World Map,0,0,Besoin d'un lieu,Directement de FFT
554,A Chapel,0,0,Besoin d'un lieu,Directement de FFT
555,Ascent,0,0,Avant le 2e boss du Phare de Ridorana (Bélias),Directement de FFXII
556,The Mystery of Giruvegan,0,0,Après le 2e boss du Phare de Ridorana (Bélias),Directement de FFXII
557,Boss Theme,0,0,"Le Phare de Ridorana 1er boss (Famfrit), Le Phare de Ridorana 2e boss (Belias)",Directement de FFXII
558,Apoplexy,0,0,Le Phare de Ridorana 3e boss (Bâtisseur n°7),Directement de FFT
559,Flash of Steel,0,0,Boss final du Phare de Ridorana (Yiazmat),Directement de FFXII
560,Victory,0,0,Après le boss final du Phare de Ridorana (Yiazmat),Directement de FFXII
561,Cornerstone of the New World - Astera,0,0,Cinématiques du crossover avec Monster Hunter: World,"Thème de jour, première moitié de la musique de la BO de MHW"
562,Cornerstone of the New World - Astera,0,0,Cinématiques du crossover avec Monster Hunter: World,"Thème de nuit, seconde moitié de la musique de la BO de MHW"
563,Crown of the Ancient Tree,0,0,Cinématique d'intro du Rathalos (crossover avec Monster Hunter: World),
564,Proof of a Hero - Monster Hunter: World version,0,0,Monture de la Chasse au Rathalos (extrême),
565,Deception,0,0,Monture du Pilier des cieux / Juedi,
566,Crimson Sunrise,0,0,Shirogane (jour),
567,Crimson Sunset,0,0,Shirogane (nuit),
568,Looping in the Deepest Fringes,0,0,Combat à Shirogane,"Tous les ""Looping in the Deepest Fringes"" sont la même musique"
569,???,0,0,La Fantasmagorie d'Ultima (fatal) phase 4,
570,"Wasshoi, Wasshoi!",0,0,Monture Mikoshi,
571,Second Council Meeting - Tension,0,0,Cinématiques du crossover avec Monster Hunter: World,
572,Quest Failed,0,0,Échec de la mission Chasse au Rathalos (extrême),
573,Everywhere and Nowhere,0,0,Cinématiques de Stormblood (Alphastice),
574,A Dream in Flight,0,0,Cinématiques de Stormblood (Alphastice),
575,A Dream in Flight (2nd movement),0,0,Cinématiques de Stormblood (Alphastice),
576,Ending,0,0,Cinématiques de Stormblood (Alphastice),
577,Unspoken,0,0,Cinématiques,Coerthas de la 1.0
578,Inner Recess,0,0,Cinématiques de Stormblood (Oméga),Musique de la 1.0
579,Neverborn,0,0,Cinématiques,
580,"Starlight, Starbright",0,"Starlight, Not Right",Mini-jeu en cinématique à la Theatrhythm,
581,Sunset,0,0,Le Nid des Lamentations (Suzaku) phase 2,DDR
582,Sunrise,0,0,Le Nid des Lamentations (Suzaku) phase 3,
583,A Land Long Dead,0,0,L'Escarre,
584,From Mud,0,0,L'Arboretum Sainte-Mocianne (brutal),
585,Battle,0,0,Alphastice v1.0 (Chaos),Remix du thème de combat de FF1
586,eScape,0,0,Alphastice v3.0 (Oméga),
587,Heartless,0,0,Alphastice v4.0 (Oméga M/F),
588,Sunrise,0,0,Monture du Nid Des Lamentations (Extrême) / Kamuy Du Sud,
589,From the Heavens,0,0,Monture de l'Alphastice v4.0 (sadique) / Oméga,
590,Bedlam's Brink,0,0,Thème de Solus zos Galvus,
591,From the Heavens,0,0,Alphastice v4.0 (sadique) phase 2,
592,The Chase/Crazy Motorcycle,0,0,Monture SLE Fenrir,Directement de FFVII
593,Dangertek,0,0,"Temple sacré d'Uznair, The Feast (Phase de carnage)",
594,0,0,0,,
595,0,0,0,,
596,0,0,0,,
597,0,0,0,,
598,0,0,0,,
599,0,0,0,,
600,0,0,0,,
601,0,0,0,,
602,0,0,0,,
603,0,0,0,,
604,Broken Down,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
605,Hammerhead,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,"La guitare apparaît à la fin, pas au début comme dans la BO de FFXV"
606,Valse di Fantastica,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
607,Relax and Reflect,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
608,Daemons,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
609,Prayer de LUNA,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,Légèrement différent de la bande originale
610,Safe Haven,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
611,Veiled in Black,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
612,Horrors of the Night,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
613,Apocalypsis Noctis,0,0,Cinématiques et événements du crossover avec Final Fantasy XV,
614,A Quick Pit Stop,0,0,Monture du crossover FFXV / Regalia Type-G,
615,Saint Ajora's Theme,0,0,Cinématique avant le dernier boss du Monastère d'Orbonne (Ultima),Vient de FF Tactics
616,Poachers' Den,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
617,Epilogue,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
618,Staff Credits,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
619,Brave Story,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
620,Alma's Theme,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
621,Intrigue,0,0,Cinématiques de Retour à Ivalice,Vient de FF Tactics
622,Under the Stars,0,0,Avant le 2e boss du Monastère d'Orbonne (Agrias),Vient de FF Tactics
623,Bloody Excrement,0,0,Après le 2e boss du Monastère d'Orbonne (Agrias),Vient de FF Tactics
624,Pressure (No. 1),0,0,Le Monastère d'Orbonne 1er boss (Mustadio),Vient de FF Tactics
625,Antipyretic,0,0,Le Monastère d'Orbonne 2e boss (Agrias),Vient de FF Tactics
626,A Man Consumed,0,0,Le Monastère d'Orbonne 3e boss (Dieu de la Foudre),"""Grotesque Creature"" de Final Fantasy Vagrant Story"
627,Descent,0,0,Le Monastère d'Orbonne boss final (Ultima) phase 2,Vient de FF Tactics
628,Ultima's Perfection,0,0,Le Monastère d'Orbonne boss final (Ultima) phase 3,Vient de FF Tactics
629,Final Struggle / Hall of Worship,0,0,Réussite du boss final du Monastère d'Orbonne (Ultima),"S'ouvre avec ""Final Struggle"", puis passe à ""Hall of Worship"""
630,Nail of the Heavens,0,0,La Grande Mascarade,Musique de la 1.0
631,Imperium,0,0,La Grande Mascarade,
632,The Garden of Ru'Hmet,0,0,L'Arsenal de Baldesion,Directement de FFXI
633,Onslaught,0,0,Combat de boss dans L'Arsenal de Baldesion,Directement de FFXI
634,Turmoil,0,0,Thème du boss final de l'Arsenal de Baldesion (Proto-Ozma),Directement de FFXI
635,From the Dragon's Wake,0,0,Monture de l'Îlot des Amertumes (Extrême) / Kamuy De L'est,
636,Prelude - Long March Home,0,0,Monture Kamuy À Neuf Queues (Kyubi),"Sans le bruit du logo, sans encouragement de la foule"
637,Horizons Calling,0,0,Montures Roues Feu-et-Vent / Tapis Magique / Lièvre Rouge / Nuage Magique Doré,
638,The Merry Wanderer Waltz,0,0,Montures Panda Mystique / Carbuncle Aigue-marine+Citrine+Rubellite / Baleine / Très Gros Minout / Spriggan Porte-pierre / Paon Roi,
639,A Pall Most Murderous,0,0,Les Ténèbres de Ghimlyt,
640,From the Dragon's Wake,0,0,L'Îlot des Amertumes (Seiryu) phase 2,
641,Doman Distractions,0,0,Mahjong domien,
642,Air Force One Victory,0,0,As de l'air,
643,Air Force One Fail,0,0,As de l'air,
644,Battle Theme 1.x,0,0,As de l'air,
645,Revolutions / The Measure of Our Reach,0,0,Crédits de Stormblood 2,
646,Tomorrow and Tomorrow,0,0,Cinématique de l'écran titre de Shadowbringers,
647,Tomorrow and Tomorrow - Reprise,0,0,Cinématiques de Shadowbringers,
648,A Better Tomorrow,0,0,Cinématiques de Shadowbringers,
649,Tears in the Rain,0,0,Cinématiques de Shadowbringers,
650,Dangerous Words,0,0,Cinématiques de Shadowbringers / Zones de Shadowbringers,Peut se jouer dans les zones de Shadowbringers selon la progression dans l'épopée
651,High Treason,0,0,Cinématiques de Shadowbringers / Zones de Shadowbringers / Batailles de quêtes,Peut se jouer dans les zones de Shadowbringers selon la progression dans l'épopée
652,More than Truth,0,0,Cinématiques de Shadowbringers,
653,Paradisaical Predicaments,0,0,Cinématiques de Shadowbringers,
654,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Version piano avec de l'écho
655,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Version vocale et piano avec de l'écho
656,Vamo' alla Flamenco,0,0,Cinématiques de Shadowbringers (Quêtes danseur),
657,???,0,0,"Quête de barde niveau 80, ""Trouver l'inspiration""",Besoin d'un nom
658,The Lute,0,0,,
659,The Dark Which Illuminates the World,0,0,Cristarium (jour),
660,Knowledge Never Sleeps,0,0,Cristarium (nuit),
661,Indulgence,0,0,Eulmore (jour),
662,Masquerade,0,0,Eulmore (nuit),
663,The Source,0,0,Grand-Lac (jour),
664,"Unchanging, Everchanging",0,0,Grand-Lac (nuit),
665,A World Divided,0,0,Kholusia (jour),
666,The Quick Way,0,0,Kholusia (nuit),
667,Sands of Amber,0,0,Amh Araeng (jour),
668,Sands of Blood,0,0,Amh Araeng (nuit),
669,Fierce and Free,0,0,Il Mheg (jour),
670,The Faerie Ring,0,0,Il Mheg (nuit),
671,Civilizations,0,0,Rak'tika (jour),
672,A Hopeless Race,0,0,Rak'tika (nuit),
673,Full Fathom Five,0,0,La Tempête,
674,Neath Dark Waters,0,0,La Tempête (Amaurote),
675,A Reason to Live,0,0,Lieux de repos de Shadowbringers,
676,No Greater Sorrow,0,0,Lieux de repos de Shadowbringers,
677,Rencounter,0,0,Combat à Grand-Lac,"Tous les ""Rencounter"" sont la même musique"
678,Rencounter,0,0,Combat à Kholusia,"Tous les ""Rencounter"" sont la même musique"
679,Rencounter,0,0,Combat en Amh Araeng,"Tous les ""Rencounter"" sont la même musique"
680,Rencounter,0,0,Combat à Il Mheg,"Tous les ""Rencounter"" sont la même musique"
681,Rencounter,0,0,Combat à Rak'tika,"Tous les ""Rencounter"" sont la même musique"
682,0,0,0,Combat à la Tempête,"Piste vide, mais il semble que FFXIV ait besoin d'avoir des thèmes de combat spécifiques pour chaque zone"
683,What Angel Wakes Me,0,0,La Valse du Monarque (Titania),
684,Insanity,0,0,La Couronne de l'Immaculé (Innocence),
685,Who Brings Shadow,0,0,Le Râle de l'Agonie (Hadès) phase 1,
686,Invincible,0,0,Le Râle de l'Agonie (Hadès) phase 2,
687,To Fire And Sword,0,0,Holminster,
688,Figments,0,0,Dohn Mheg,
689,Unwound,0,0,L'Enchevêtrement des Qitari,
690,Deep Down,0,0,Le Puits de Malikah,
691,In The Belly Of The Beast,0,0,Mont Gulg,
692,Mortal Instants,0,0,Amaurote,
693,Shadows Withal,0,0,Akadaemia Anydre,
694,A Long Fall,0,0,La Macle de Syrcus,
695,Insatiable,0,0,Boss de donjons Shadowbringers,
696,Blue Fields,0,0,Le Grand Vide (inachevé),
697,Force Your Way,0,0,"L'Éveil d'Éden - Résurrection (Primo-Éden), L'Éveil d'Éden - Descente (Marcheuse du néant), Les Accords d'Éden - Iconoclasme (Idole des Ténèbres)",
698,Landslide,0,0,L'Éveil d'Éden - Inhumation (Titan),
699,On Our Fates Alight,0,0,Amaro de relais,
700,What Angel Wakes Me,0,0,Monture de la Valse du Monarque (extrême) (Titania) / Dragon Pixie,(Monture)
701,Insanity,0,0,Monture de La Couronne de l'Immaculé (extrême) (Innocence) / Dragon Immaculé,(Monture)
702,Landslide,0,0,L'Éveil d'Éden - Inhumation (sadique) (Titan) / Aéroglisseur,(Monture)
703,Four-sided Circle,0,0,Monture Pampa Emperador,
704,Four-fold Knowing,0,0,Écran titre de Shadowbringers,
705,Who Brings Shadow / Tomorrow and Tomorrow / Masquerade / High Treason / Knowledge Never Sleeps / The Dark Which Illuminates the World,0,0,Crédits de Shadowbringers,Transitionne directement d'une musique à l'autre
706,Locus (The Primals),0,0,"La Macle de Syrcus, L'Odyssée d'Alexander (fatal) phase 1",
707,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Partie 1 de la musique complète
708,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Partie 2 de la musique complète
709,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Instrumental
710,Shattered,0,0,,"Deuxième channel de 218, musique de combat de la Tour de Syrcus"
711,Pain in Pleasure,0,0,Eulmore,Thème alternatif d'Eulmore (jour)
712,Such as it Is,0,0,Lieux de repos de Shadowbringers,
713,Null BGM,0,0,,Son vide
714,The Darks' Kiss,0,0,,"Deuxième channel de 17, musique de combat des donjons ARR brutaux."
715,On Our Fates Alight,0,0,Amaro de relais,
716,Unmatching Pieces,0,0,Kholusia,Thème alternatif (Déluge de lumière ?)
717,Blinding Indigo,0,0,L'Éveil d'Éden - Déluge (Leviathan),
718,"Starlight, de Chocobo",0,"Starlight, de Chocobo (?)",Mini-jeu en cinématique à la Theatrhythm,Transitionne vers une version jouée faux lorsque le mini-jeu échoue.
719,The Garden's Gates,0,0,Lyhe Mheg,
720,The Mendicant's Relish,0,0,Azurée,
721,Siren Song,0,0,Eulmore (La Ruche),
722,A Fine Air Forbiddeth,0,A Fierce Air Forceth,Onsal Hakair,
723,Metal - Brute Justice Mode (The Primals),0,0,L'Odyssée d'Alexander (fatal) phase 2,
724,Stasis Loop,0,0,L'Odyssée d'Alexander (fatal) phase 2 à 3,Réécriture du passé de A12
725,Rise (The Primals),0,Stasis Loop,L'Odyssée d'Alexander (fatal) phase 3,
726,Moebius (Orchestral Version),0,0,L'Odyssée d'Alexander (fatal) phase 4,
727,The Grand Cosmos,0,0,Le Cosmos coruscant,
728,Invincible,0,0,Monture du Râle de l'Agonie (extrême) (Hadès) / Dragon Ombragé,
729,A Fierce Air Forceth,0,0,Monture Constructeur 07,
730,Starved,0,0,Montures Epimetheus/Menoetius,
731,Imperium,0,0,Monture Morbol,
732,Significance (Nothing),0,0,Exploration solo de la réplique de l'usine désaffectée,
733,City Ruins - Rays of Light,0,0,La réplique de l'usine désaffectée - BO de Nier Automata,
734,Vague Hope,0,0,La réplique de l'usine désaffectée - Zone des quêtes,
735,0,0,0,,
736,Voice of no Return (Guitar),0,0,Besoin d'un lieu,Issu de la collaboration entre FFXIV et NieR
737,Alien Manifestation,0,0,La réplique de l'usine désaffectée,Issu de la collaboration entre FFXIV et NieR
738,Song of the Ancients - Atonement,0,0,"Premier boss de la réplique de l'usine désaffectée (Modèle multiarticulé : commandant), Deuxième boss de la réplique de l'usine désaffectée (Hobbes), Deuxième boss de la tour de la Contingence (Hansel & Gretel)",Issu de la collaboration entre FFXIV et NieR
739,Bipolar Nightmare,0,0,"Troisième boss de la réplique de l'usine désaffectée (Engels), Deuxième boss de la base militaire des Pantins (724P/767P/772P : avec module de vol renforcé)",Issu de la collaboration entre FFXIV et NieR
740,Weight of the World - Prelude Version,0,0,Quatrième boss de la réplique de l'usine désaffectée (9S : avec multipède esclave),Issu de la collaboration entre FFXIV et NieR
741,Crumbling Lies (Front),0,0,Cinématiques de Shadowbringers (collaboration FFXIV x NieR),Issu de la collaboration entre FFXIV et NieR
742,Ami,0,0,Cinématiques Eden/Le Grand Vide (fini),FFVIII
743,Hopl's Dropple,0,0,Rak'tika (tribu Qitari),
744,Gangos,0,0,Gangos,
745,Pa-Paya Demastered,0,0,"Mini-jeu Riggy, chasseur de Prœufs",La chasse aux Prœufs 2020
746,Ultima (The Primals),0,0,Les Nuées de Brandons (Arme Rubis) phase 1,
747,Hearthward,0,0,Azurée,
748,Insatiable (The Primals),0,0,Boss de donjons Shadowbringers,
749,Floundering in the Depths,0,0,Anamnesis Anydre,
750,Twice Stricken,0,0,Les Accords d'Éden - Fulmination (Ramuh),
751,Primal Angel,0,0,"Les Accords d'Éden - Fureur (Garuda & Ifrit, Raktapaksa)",
752,Return to Oblivion,0,0,Les Accords d'Éden - Éclat (Shiva) phase 1,
753,Ultima (The Primals),0,0,Monture des Nuées de Brandons / Dragon Rubis,
754,Twice Stricken,0,0,Monture des Accords d'Éden - Fulmination (Ramuh) / Ramuh,
755,Rise of The White Raven (Orchestral Version),0,0,Les Nuées de Brandons (Arme Rubis) phase 2 / L'Abîme infini de Bahamut (fatal) phase 2 (Nael Deus Darnus),Cette version met davantage en avant les voix
756,Horizons Calling,0,0,Pêche en mer,
757,Holy Consult,0,0,Pêche en mer,
758,When a Tree Falls,0,0,Pêche en mer,
759,A Sundering of Light,0,0,Les Accords d'Éden - Éclat (Shiva) phase des ennemis,
760,Eternal Wind - Shadowbringers,0,0,,
761,Shadowbringers,0,0,"Cinématiques de Shadowbringers (Porteur d'espoir, cinématique 5)",Petite partie de Shadowbringers
762,Tomorrow and Tomorrow,0,0,Cinématiques de Shadowbringers,Musique complète
763,Dawn of a New Era,0,0,Cinématiques de Shadowbringers,
764,Forever at Your Side,0,0,Cinématiques de Shadowbringers,
765,The Isle of Endless Summer,0,0,Les Feux de la Mort en Noscea orientale,
766,Watts's Anvil,0,0,Grand-Lac (tribu Nain),
767,And Love You Shall Find,0,0,Rocasternes,
768,To The Edge,0,0,"Le Trône du Sacrifice phase 1, Le Trône du Sacrifice (extrême) (Guerrier de la Lumière primordial)",
769,Echoes in the Dark,0,0,Le Trône du Sacrifice (Guerrier de la Lumière primordial),Manoeuvre critique 
770,0,0,0,,
771,To The Edge,0,0,Le Trône du Sacrifice (Guerrier de la Lumière primordial),
772,Wind on the Plains,0,Blood on the Wind,Front sud de Bozja,
773,Discord: Imperial (Zodiac Age Version),0,0,Front sud de Bozja (certains affrontements cruciaux),
774,Into the Fortress (Zodiac Age Version),0,0,"Front sud de Bozja (Castrum Lacus Litore entre le premier et deuxième boss, phase des otages)",
